IMDB Keyword Query	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
Cowboys and Indians	0.203332028851	0.385344902229	0.47555024565	0.494631836713	0.58173550349	0.650688616545	0.659336176258	0.730042259303	0.789238619841	0.794708913564	0.850676847992	0.941817662091	0.904045632694	0.946827738909	0.954815322305	1.0	1.0	1.0	0.940556391827	0.965223794357	1.0	1.0	1.0	0.958013806756	
Aliens Outer Space Star Wars	0.566095982334	1.0	1.0	0.526444266368	0.232502217369	0.881160802535	1.0	1.0	0.795862802847	1.0	1.0	0.655587082793	1.0	0.70263237511	0.426441424633	0.907481020891	0.45130163009	0.955201374298	1.0	1.0	0.495196882961	0.917967013801	0.513522847211	0.947289500957	
Indiana Jones	0.244918752208	0.440598817267	0.506180874269	0.727503574298	0.589988813742	0.872785588941	0.632751786942	1.0	0.912165848386	1.0	0.851283906013	1.0	1.0	0.952760472255	1.0	1.0	1.0	1.0	1.0	0.967449477203	1.0	1.0	1.0	0.945222832086	
Nemo	0	1.0	1.0	0.823914472391	1.0	1.0	1.0	1.0	1.0	0.92546082039	0.92546082039	1.0	0.94506046357	1.0	1.0	1.0	1.0	0.911722885084	1.0	1.0	1.0	1.0	1.0	1.0	
and the	0.605709173522	1.0	0.651709325333	0.836170424319	1.0	0.871900218562	1.0	1.0	1.0	1.0	1.0	1.0	0.871965615245	1.0	1.0	0.941783194958	1.0	0.971771585849	0.972800617494	0.808250941461	1.0	1.0	1.0	0.830627598558	
something about a heroic person on a journey all by himself	0.212726957676	0.322565268026	1.0	0.745037751302	0.593551606809	1.0	0.511015319439	0.560473555029	0.818219388466	0.868423682016	1.0	0.649838686625	1.0	0.691058814481	0.7304686246	0.768284642614	1.0	1.0	0.961536645408	1.0	1.0	0.965841638818	0.637961693973	0.659576711791	
mission impossible	0.439690541456	1.0	0.673086531337	0.794551791813	0.883241836195	0.90271622591	1.0	1.0	1.0	1.0	0.816251436297	1.0	1.0	0.912447348664	1.0	0.95734576544	1.0	1.0	1.0	0.864742654897	1.0	0.89524676929	0.70247396196	0.922743898712	
tiger king	0.393237360747	0.506077468274	0.794162436312	1.0	1.0	1.0	1.0	0.927071178285	0.881889611708	0.299764845605	0.325726083753	1.0	1.0	0.913377776169	1.0	0.959268179644	1.0	1.0	1.0	0.842857831564	1.0	0.932983152622	1.0	0.887736782364	
sherlock holmes mystery crime murder investigation hounds of baskerville	1.0	0.507257251356	1.0	0.660811496685	1.0	0.787511848636	0.898760501593	1.0	1.0	0.927745899012	1.0	1.0	1.0	0.837664445758	1.0	0.916197012877	1.0	0.960578084821	1.0	1.0	1.0	1.0	0.800133534024	1.0	
love	0.254155895829	1.0	0.554563592533	0.593682916752	1.0	0.873310749092	0.819396285395	1.0	0.914585040414	1.0	1.0	1.0	0.948876629079	1.0	1.0	0.938878579972	0.967554900407	0.72022261532	1.0	0.970662221074	1.0	0.74435571326	1.0	0.974458572738	
